candidate_id	material_type	source_project	source_path	source_commit_or_version	source_blob_or_hash	author_or_provenance	rights_owner_evidence	governing_license_or_grant	dependency_closure	intended_use	allowed_action	required_notices	reviewer	status	evidence_or_gap
DND-CODE-01	source	Claude-Code-Game-Master	lib/world_repository.py	ae25d6e48776c0f361fbcb6806e5195203542941	47b41b6ca9916496581499126ab5e13df85c5434	first added in 1ae8cb4 by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; software-specific and commercial rights unresolved	stdlib-only immediate imports: copy, fcntl, json, os, tempfile, contextlib, pathlib, typing; POSIX fcntl behavior must not be copied	transactional repository and revision behavior in proprietary hosted service	BEHAVIORAL_REWRITE	none for independently authored behavior; destination provenance record required	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Exact blob and imports measured; ownership and proprietary-use grant absent.
DND-CODE-02	source	Claude-Code-Game-Master	lib/dice.py	ae25d6e48776c0f361fbcb6806e5195203542941	9b27de8bf5e7d43dd6bb3ebc5433c9cb63fe6df6	added at repository origin by Sstobo and materially changed by Maxim; Git metadata only	unknown; no complete assignments supplied	repository declares CC BY-NC-SA 4.0; software-specific and commercial rights unresolved	internal combat_rules, module_runtime, world_graph, colors, campaign_context plus stdlib/subprocess; data and rule coupling unresolved	deterministic dice and combat behavior	BEHAVIORAL_REWRITE	none for independently authored behavior; SRD-origin rules separately attributed	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Heavy internal dependency and rules coupling plus missing rights.
DND-CODE-03	source	Claude-Code-Game-Master	lib/campaign_context.py	ae25d6e48776c0f361fbcb6806e5195203542941	9778464c98fb1ca6552385487c7032f1cc75dfa8	first added in 1ae8cb4 by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; software-specific and commercial rights unresolved	stdlib-only immediate imports; surrounding campaign path and filesystem expectations unresolved	campaign path isolation and race-safe context behavior	BEHAVIORAL_REWRITE	none for independently authored behavior	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Standard-library imports do not establish transfer rights.
DND-CODE-04	source	Claude-Code-Game-Master	backend/providers/codex_cli.py	ae25d6e48776c0f361fbcb6806e5195203542941	485ea56eb4bc5d33de0969b07a0c38b7c2054c1f	first added in 41bf69e by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; provider/API terms also time-sensitive	backend.runtime.events plus provider CLI/runtime assumptions; full process and event closure unresolved	provider event normalization	BEHAVIORAL_REWRITE	none for independently authored adapter; provider notices/terms recorded separately	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Product architecture and provider surface differ; rights and closure incomplete.
DND-CODE-05	source	Claude-Code-Game-Master	backend/campaign_views.py	ae25d6e48776c0f361fbcb6806e5195203542941	bddb830d165dd936c99dd20beeb6d9aa78ef44b0	first added in 41bf69e by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; software-specific and commercial rights unresolved	lib.currency and lib.world_graph plus schema/data coupling; denylist-style projection is not the future allowlist design	player-safe projection behavior	BEHAVIORAL_REWRITE	none for independently authored allowlist projection	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Current implementation is coupled and is not a safe authority boundary.
DND-TEST-01	test	Claude-Code-Game-Master	tests/test_world_repository.py	ae25d6e48776c0f361fbcb6806e5195203542941	4bff56d1a77983bd9855f749393526f43d64ee0c	first added in 1ae8cb4 by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; tests are copyrightable expression	pytest, lib.world_repository, lib.world_graph, fixtures and schema closure	new repository transaction and conflict tests	BEHAVIORAL_REWRITE	none; tests must be newly authored from product invariants	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Do not copy test text, fixture structure, names as a set, or assertions.
DND-TEST-02	test	Claude-Code-Game-Master	tests/test_dice_combat.py	ae25d6e48776c0f361fbcb6806e5195203542941	f3d267af3bd0d8b27b288fc8cc78e4bf406e94a7	first added in b065cb4 by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; tests and embedded rule content require separate review	pytest, dice/combat/world state, fixtures, rule content and schemas	dice/combat acceptance oracles	BEHAVIORAL_REWRITE	none for new tests; exact SRD-derived values require SRD attribution row	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Dependency and embedded-content closure incomplete.
DND-TEST-03	test	Claude-Code-Game-Master	tests/test_campaign_views.py	ae25d6e48776c0f361fbcb6806e5195203542941	a05c4091ad99ee7b366280c40b959f0ca74bc102	first added in 41bf69e by Maxim; Git metadata only	unknown; no assignment or transfer grant supplied	repository declares CC BY-NC-SA 4.0; tests are copyrightable expression	backend.campaign_views, world_graph, currency, fixtures and schemas	projection confidentiality tests	BEHAVIORAL_REWRITE	none; new allowlist security tests required	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	Use canonical confidentiality requirements, not this test body.
DND-ASSET-01	image	Claude-Code-Game-Master	public/6224b480-93c3-49ab-889f-869514311604.png	ae25d6e48776c0f361fbcb6806e5195203542941	4394c4f060acb8fb9ec9a51f99b2f821a56d9e80	added in 06bd05a by Sstobo; generation/source metadata absent	unknown; no artist, model, input, or assignment evidence	repository declaration alone does not prove underlying image rights	unknown source inputs, fonts, models, references, and generator terms	future product art	AVOID	not applicable while excluded	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	No embedded or adjacent rights receipt was found.
DND-ASSET-02	image	Claude-Code-Game-Master	public/6239eeac-8e89-4464-be6c-8c69dbf32989.png	ae25d6e48776c0f361fbcb6806e5195203542941	4e8adf9abdf074bdf7b1bcaf1902a1af49c7377d	added in 06bd05a by Sstobo; generation/source metadata absent	unknown; no artist, model, input, or assignment evidence	repository declaration alone does not prove underlying image rights	unknown source inputs, fonts, models, references, and generator terms	future product art	AVOID	not applicable while excluded	qualified IP/legal reviewer required; not yet recorded	AVOID_LITERAL	No embedded or adjacent rights receipt was found.
